discount_price,name,original_price,stock
57680.0,Samsung Galaxy A03 Core Android 11 - 6.5 Inches Screen Display - 2GB RAM/ 32GB Internal Storage - 5000mAh- 4G LTE - Onyx Black,94740.0,Add to cart
78300.0,Infinix Hot 30i 6.6 HD 4GB RAM 128GB ROM Android 12 BLACK,86300.0,Add to cart
69000.0,Infinix HOT 20i- (X665C) 6.6 2GB/64GB 4G - Blue,80000.0,Add to cart
49990.0,"Oppo Refurbished A3S 6.2 HD+   4GB+64GB , 4230mAH Blue",98020.0,Add to cart
128000.0,"Samsung Galaxy A14 - 6.6 (4GB RAM, 128GB ROM) Android 13 (50/5/2)MP + 13MP Selfie - Dual Sim - 5000mAh - Fingerprint - Face ID - Black",146000.0,Add to cart
103340.0,"XIAOMI Redmi 10C, 6.53-inch 4GB RAM, 128GB ROM - 5000mAh-Grey",142948.0,Add to cart
52530.0,"XIAOMI A1 Plus, 6.52 4G LTE, 2GB/32GB Memory, 	Fingerprint, Face ID Recognition, Dual 8 MP, F/2.0, (wide)0.08 MP  Camera - Black",61000.0,Add to cart
57680.0,"Samsung Galaxy A03 Core, 6.5, 32GB ROM, 2GB RAM, Dual SIM, 4G LTE, Facial Recognition, 5000mAh - Mint",65000.0,Add to cart
120000.0,Samsung Galaxy A14 - 6.6 4GB/64GB Android 13 5000mAh - Black,138000.0,Add to cart
66560.0,"Tecno Pop 7 Pro，6.6, 4GB RAM + 64GB ROM, 5000mAh-Black",72900.0,Add to cart
68000.0,"Samsung Galaxy A03 Core, 6.5, 32GB ROM, 2GB RAM, Dual SIM, 4G LTE, Facial Recognition, 5000mAh - Bronze",73500.0,Add to cart
46710.0,"itel A60 6.6 HD+ Screen, 2GB RAM + 32GB ROM, 5000mAh, 4G LTE, 8MP + 5MP Camera, Fingerprint &amp; Face Unlock - Blue +Free Case",70000.0,Add to cart
185000.0,"Samsung Galaxy S10 Plus  6.4-Inch  (8GB,128GB ROM)  4G Smartphone",203000.0,Add to cart
48350.0,"itel A60 6.6 HD+, 2GB RAM + 32GB ROM, 5000mAh, 4G LTE, 8MP + 5MP",70000.0,Add to cart
126990.0,"Tecno Camon 19 (CI6) 6.8 FHD+, 128GB ROM + 4GB RAM, 64MP Rear + 16MP Front, 5000mAh + 18W Fast Charge, Android 12, 4G - Black",180000.0,Add to cart
89124.0,"XIAOMI Poco C40, 4GB/64GB Memory, 6000MAh Battery, Fingerprint (rear-mounted), Accelerometer - Poco Yellow",165000.0,Add to cart
111600.0,"Samsung Galaxy A14 - 6.6 (4GB RAM, 64GB ROM) Android 13 (50/5/2)MP + 13MP Selfie - Dual Sim - 5000mAh - Fingerprint - Face ID - Light Green",119000.0,Add to cart
135000.0,XIAOMI Redmi Note 12 Onyx Gray 6GB RAM 128GB ROM,350000.0,Add to cart
154500.0,XIAOMI Note 11s - 6.43Amoled - 6GB RAM - 128GB ROM - Dual SIM  - Graphite Gray,179000.0,Add to cart
94245.0,"Samsung Galaxy A04s, 4GB/64GB Memory - Black",130770.0,Add to cart
83000.0,Samsung Galaxy A04e 6.5'' 3GB 64GB ROM Android12 Dual SIM Light-Blue,88500.0,Add to cart
164800.0,"XIAOMI Redmi Note 11s - 6.43 Amoled - 8GB RAM - 128GB ROM - Dual SIM - 4G LTE - Fingerprint, Face ID Recognition - 5000mAh - Graphite Gray",210000.0,Add to cart
37500.0,"itel A33 Plus 5.0 Screen, 32GB ROM + 1GB RAM, 3020mAh",45000.0,Add to cart
73800.0,Infinix Hot 20i 6.6' HD 3GB/64GB Android 12 - Green,95000.0,Add to cart
59500.0,Infinix Smart 6-32GB /2GB RAM-6.6'' HD+ -5000mAh-8mp/8mp-3G-black,75000.0,Add to cart
67200.0,"Tecno Spark 8C 64GB/2GB,6.6 HD+,13MP+8MP,5000mAh-Black",78900.0,Add to cart
56990.0,"itel S18 6.6, 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G - Green",80000.0,Add to cart
76220.0,"XIAOMI Redmi 10A, 3GB/64GB Memory - Blue",97000.0,Add to cart
84990.0,"Tecno Spark 10C (KI5k) 6.6, 128GB + Up To 8GB RAM, 16MP, 5000mAh",170000.0,Add to cart
126990.0,"Tecno Camon 19 (CI6) 6.8 FHD+, 128GB ROM + 4GB RAM, 64MP Rear + 16MP Front, 5000mAh + 18W Fast Charge, Android 12, 4G - White",180000.0,Add to cart
